Rating,TrainID,Segmentation,Goal,HealthLimit,Tire,Time,Quant,Type,BodyPart,Equipment,Level
10,0,1,2,0,1,1,3,4,1,0,2
9,0,2,1,0,5,108,9,4,1,0,2
10,0,1,0,0,2,69,5,4,1,0,2
5,0,1,2,0,5,108,7,4,1,0,2
6,0,2,2,13,2,63,4,4,1,0,2
7,0,0,0,0,3,55,5,4,1,0,2
5,0,0,1,0,0,10,2,4,1,0,2
2,0,1,2,0,2,52,6,4,1,0,2
3,0,2,1,0,0,25,2,4,1,0,2
3,0,2,0,0,4,76,3,4,1,0,2
5,0,1,0,0,3,8,2,4,1,0,2
9,0,2,0,0,4,82,4,4,1,0,2
10,0,0,2,0,2,59,3,4,1,0,2
8,0,1,2,0,2,88,3,4,1,0,2
5,0,1,0,0,5,93,10,4,1,0,2
1,0,2,0,13,0,52,5,4,1,0,2
6,0,2,0,0,4,101,8,4,1,0,2
6,0,0,2,0,4,28,2,4,1,0,2
9,0,1,0,0,1,23,2,4,1,0,2
2,0,2,2,0,4,29,3,4,1,0,2
1,0,0,0,0,3,25,0,4,1,0,2
2,0,1,1,0,5,73,4,4,1,0,2
1,0,2,1,0,2,22,2,4,1,0,2
1,0,2,2,0,1,43,1,4,1,0,2
1,0,0,0,6,4,73,5,4,1,0,2
7,0,2,1,0,1,95,8,4,1,0,2
2,0,2,1,2,4,22,3,4,1,0,2
8,0,0,1,0,2,32,3,4,1,0,2
3,0,1,0,0,3,44,3,4,1,0,2
7,0,2,2,0,5,22,2,4,1,0,2
5,0,1,1,0,4,94,7,4,1,0,2
6,0,0,1,0,3,80,3,4,1,0,2
3,0,0,1,0,2,57,6,4,1,0,2
1,0,1,1,0,5,92,10,4,1,0,2
5,0,1,2,0,2,108,8,4,1,0,2
4,0,1,1,17,2,11,2,4,1,0,2
3,0,2,0,0,2,24,1,4,1,0,2
3,0,2,1,0,5,75,5,4,1,0,2
6,0,1,1,0,4,32,3,4,1,0,2
1,0,0,2,0,4,0,8,4,1,0,2
8,1,1,1,0,5,95,8,4,1,0,2
5,1,1,2,0,3,79,6,4,1,0,2
4,1,2,1,0,5,36,1,4,1,0,2
6,1,2,0,0,3,37,0,4,1,0,2
6,1,1,2,0,2,25,3,4,1,0,2
7,1,1,1,0,2,62,6,4,1,0,2
9,1,1,1,17,3,87,6,4,1,0,2
6,1,0,1,0,1,57,4,4,1,0,2
5,1,0,2,0,0,81,6,4,1,0,2
10,1,2,2,0,5,65,6,4,1,0,2
10,1,2,2,0,4,31,3,4,1,0,2
5,1,2,2,0,3,6,1,4,1,0,2
10,1,0,0,0,2,105,8,4,1,0,2
3,1,1,0,0,0,29,1,4,1,0,2
6,1,1,1,0,2,32,1,4,1,0,2
10,1,2,2,0,1,53,5,4,1,0,2
3,1,0,2,0,4,88,3,4,1,0,2
6,1,1,0,0,5,83,6,4,1,0,2
10,1,2,0,0,5,116,10,4,1,0,2
8,1,0,0,0,0,48,1,4,1,0,2
2,1,0,2,10,1,12,1,4,1,0,2
3,1,0,0,3,4,90,6,4,1,0,2
